id_cliente,recencia,frequencia,valor_total,ticket_medio,tenure_dias,qt_devolucoes,valor_devolvido,R,F,M,segmento,loja,churn_proba,churn_previsto,faixa_risco,churn_real,conjunto
2ABB4722A994D6874833D20CEACEDD54,8,88,5196.38,54.7,422,1,57.05,4,5,5,Campeoes,2,0.004692777449272,0,Baixo,0,teste
DB2B723BF18EB608A92FC21C6B1C6FBB,0,77,5586.99,70.72,421,0,0.0,5,5,5,Campeoes,1,0.006267756040316,0,Baixo,0,treino
BC131A4A34E57FD80EC8FA7BCAEDCBB6,46,17,1549.61,81.56,413,0,0.0,3,4,4,Atencao,2,0.1993020081626198,0,Baixo,0,teste
E6AF84B963C44222BD4B61920BFD40A9,62,2,137.44,68.72,421,0,0.0,3,2,2,Atencao,1,0.6637062815374373,1,Alto,0,teste
9B1DD0E6CF09A9CA919C041A1DFDB84E,5,32,4090.9,127.84,413,0,0.0,4,4,5,Campeoes,1,0.0547175447368871,0,Baixo,0,treino
27B65E073907B13358F5C529D1BC15B7,5,15,510.88,34.06,397,0,0.0,4,4,3,Leais,1,0.1483052178888449,0,Baixo,0,teste
74AA6D3D2C3AA9905A529635EA5CB232,1,31,628.01,19.03,419,0,0.0,5,4,3,Leais,2,0.0777226862678982,0,Baixo,0,teste
8CA32AEE826FED4FAD0294CBBEF8F438,36,7,508.46,50.85,225,0,0.0,3,3,3,Atencao,2,0.4138435017345561,0,Medio,0,treino
1CE435D36CBD290AB81D3BAF17FB4D64,3,55,5965.2,101.11,422,0,0.0,5,5,5,Campeoes,1,0.0125002290596699,0,Baixo,0,treino
036CF638CC835FB08BF206665E3DA9B4,10,36,4408.37,116.01,422,0,0.0,4,5,5,Campeoes,2,0.0320471630157348,0,Baixo,0,treino
0149848D8C70FDB583BEFF81ED0A2720,8,30,1152.87,37.19,397,0,0.0,4,4,4,Campeoes,2,0.0825552625582654,0,Baixo,0,treino
83303C80E8E624645580C5327C46BC7C,4,66,3192.05,44.33,417,0,0.0,5,5,5,Campeoes,2,0.0104333703713684,0,Baixo,0,treino
A290D520C4C37226E45F5AFFA0D83FB4,9,49,5970.87,114.82,403,0,0.0,4,5,5,Campeoes,1,0.0236317123235981,0,Baixo,0,treino
A3B5A2D5CE6D9272DEFB2A7B5B5BEF91,170,1,104.87,104.87,170,0,0.0,2,1,2,Perdidos,2,0.8707117113885342,1,Alto,0,teste
CC9F2FFF870650B6976BA7F9DD5C1963,18,35,3936.91,98.42,419,0,0.0,4,5,5,Campeoes,2,0.0391749792762343,0,Baixo,0,teste
B3CB20BEFF4E1B7F97822E19C490D803,72,35,1991.0,56.89,416,0,0.0,3,5,4,Atencao,1,0.2435440686227351,0,Baixo,0,teste
E45C30A044ECF4195CEAD18E34AACDAC,10,21,1077.43,51.31,380,0,0.0,4,4,4,Campeoes,2,0.1032290689012868,0,Baixo,0,treino
A5BB4A7C5DFD7A60D38387178816221B,7,20,2456.57,116.98,370,0,0.0,4,4,4,Campeoes,1,0.1050147792540882,0,Baixo,0,treino
D80C1323E1D5CE66FEE14B47DB0060E6,11,33,1802.65,53.02,259,0,0.0,4,4,4,Campeoes,2,0.1003926383185386,0,Baixo,0,teste
DA1B0D011A204181EA7460B7101FC1C7,24,13,2021.35,155.49,275,0,0.0,4,4,4,Campeoes,1,0.176691644123539,0,Baixo,0,teste
37F226059B4566C0B558489582C8D88D,1,3,562.88,187.63,17,0,0.0,5,2,3,Novos/Promissores,1,0.4652042535802941,1,Medio,0,treino
611393F6472227B2616AC09D5E24CC94,19,24,3328.81,133.15,313,0,0.0,4,4,5,Campeoes,1,0.095928025005719,0,Baixo,0,treino
55527A4CEAF510E1433D2291810CBE54,3,2,69.03,34.52,43,0,0.0,5,2,1,Novos/Promissores,1,0.5836796485102539,1,Medio,0,treino
46E5A8B3CFF978BD1620445468FE7CCF,2,66,6820.21,103.34,422,0,0.0,5,5,5,Campeoes,1,0.0090862084354914,0,Baixo,0,treino
AAC3E56DC0AADFD67865625D6552DF1C,0,44,4606.38,98.01,391,0,0.0,5,5,5,Campeoes,1,0.0146677265520895,0,Baixo,0,treino
CED1AB5904196C15FE14134ECE4A6C41,2,26,2381.12,85.04,389,0,0.0,5,4,4,Campeoes,1,0.0660787585253665,0,Baixo,0,teste
00D10954689C671A4FF0311CAE29EC40,2,33,1223.28,33.98,169,0,0.0,5,4,4,Campeoes,2,0.0570460776166439,0,Baixo,0,treino
A65D58D319143B259A03AACB11DEF802,41,34,2108.31,56.98,419,0,0.0,3,5,4,Atencao,2,0.1174819186193137,0,Baixo,0,teste
3F0233EA9924BB4F8765EF2EE2E910AF,5,25,2730.48,91.02,267,1,19.85,4,4,5,Campeoes,1,0.0366369370035354,0,Baixo,0,treino
E21462006BD30B4938D073ABB4AB358C,61,25,2666.17,106.65,401,0,0.0,3,4,4,Atencao,2,0.2814409513887724,0,Baixo,0,treino
B5F0D3EF4664571B34ADDCC9E8BDF9BB,69,14,523.78,32.74,417,0,0.0,3,4,3,Atencao,2,0.3098253804889302,0,Medio,0,treino
1AD68817FA9AA953240E655AFD540DBB,0,44,2773.12,51.35,421,0,0.0,5,5,5,Campeoes,2,0.0149066999972694,0,Baixo,0,treino
BC3D737CE9F0AADD189883D5955D2A0E,3,51,3392.72,61.69,414,0,0.0,5,5,5,Campeoes,1,0.0134819815016767,0,Baixo,0,teste
F86D5A0436FA958BA2AA742B51F7369E,2,54,2641.88,42.61,401,0,0.0,5,5,4,Campeoes,2,0.018774026792688,0,Baixo,0,teste
1E6EFB32D88B6224C796D526740F8A77,2,76,4109.06,52.01,406,0,0.0,5,5,5,Campeoes,2,0.0074392267532139,0,Baixo,0,treino
40C9B56069DDADAF55BAF94EEE3104B6,3,20,2230.33,106.21,420,0,0.0,5,4,4,Campeoes,1,0.079701188523899,0,Baixo,0,treino
98C803AC066EA01BC09AD3DE50C3BEB2,0,120,6646.68,52.34,423,0,0.0,5,5,5,Campeoes,2,0.0020699247232917,0,Baixo,0,treino
4D495DC92892D18F8F1F55417193AFC1,30,23,1655.84,66.23,415,0,0.0,3,4,4,Atencao,1,0.1660635988071732,0,Baixo,0,treino
D3626F69330F36699CC872EEBBA0E441,6,10,1117.26,101.57,42,0,0.0,4,3,4,Leais,1,0.2914667362248174,0,Baixo,0,teste
